query,optimizer,loop,join_order,prep_time,exec_time,total_time
6c.sql,A,20,0-3-4-2-1-,7.672,374.529,386.922
28a.sql,A,20,4-9-10-5-3-11-6-12-7-0-1-2-13-8-,31.669,29381.7,29421.6
32a.sql,A,20,5-3-1-4-2-0-,8.903,375.397,387.391
11d.sql,A,20,5-6-3-4-0-1-2-7-,14.466,602.44,624.167
19d.sql,A,20,0-2-5-3-1-6-4-8-9-7-,18.642,10641,10678.4
4c.sql,A,20,0-2-3-1-4-,7.862,236.691,247.306
26a.sql,A,20,2-0-4-3-10-1-8-5-9-6-11-7-,25.541,1756.88,1794.78
10c.sql,A,20,1-5-0-4-3-2-6-,11.502,994.409,1015.47
5b.sql,A,20,0-2-3-1-4-,8.245,102.28,111.246
9b.sql,A,20,2-4-3-0-1-5-6-7-,15.482,832.234,854.985
10b.sql,A,20,1-5-0-4-2-3-6-,12.028,909.347,928.236
6a.sql,A,20,0-3-4-2-1-,7.846,388.072,401.678
30a.sql,A,20,4-7-0-1-2-3-10-8-5-9-6-11-,27.719,28999.1,29038.1
23b.sql,A,20,9-7-3-2-8-4-0-1-5-10-6-,22.052,26530.4,26570.5
31a.sql,A,20,5-1-0-9-6-2-7-3-8-4-10-,26.523,28803.8,28837.1
8b.sql,A,20,1-4-0-3-2-5-6-,13.298,524.322,539.948
2d.sql,A,20,0-2-3-1-4-,6.771,446.968,457.495
15a.sql,A,20,2-5-6-3-0-1-7-4-8-,16.361,24767.7,24787.5
15c.sql,A,20,5-1-0-2-6-3-7-4-8-,15.866,27859.4,27879.4
33c.sql,A,20,5-13-10-3-11-9-2-7-0-6-12-4-8-1-,30.215,445.248,481.934
2c.sql,A,20,0-2-3-1-4-,7.001,165.537,175.776
21a.sql,A,20,8-6-2-5-7-3-4-0-1-,18.94,28217.8,28238.6
17a.sql,A,20,5-0-6-3-1-4-2-,10.744,11405.6,11423.6
13c.sql,A,20,8-6-3-7-2-5-1-0-4-,15.129,221.461,238.108
31b.sql,A,20,6-5-1-0-9-2-7-3-8-4-10-,26.06,29060.2,29093.7
20c.sql,A,20,0-4-3-8-1-2-7-5-9-6-,19.681,1833.77,1866.13
